,count,mean,std,min,25%,50%,75%,max
price_competitiveness,106.0,0.9934673818470439,0.06622583638190019,0.8607718051837786,0.9429115831612351,1.002002447741824,1.044056051669349,1.161405434277546
cost_variability,106.0,0.08034917142356997,0.036095664368447564,0.0148462828517999,0.053354024897444174,0.06560293515579074,0.11105776940849225,0.1856987806101554
total_spend,106.0,3879088.0683018863,9194997.558624523,16387.47,138796.1325,897407.8049999999,4492714.837499999,83912380.83
order_frequency,106.0,444.60377358490564,798.81787279103,3.0,37.25,127.5,539.75,5384.0
average_delivery_delay,106.0,0.8624630053733516,2.406001688651986,0.0,0.2051514273293725,0.26101288715971044,0.3326771653543307,11.00518134715026
quality_rejection_rate,106.0,0.017963991703477327,0.02765151591543619,0.0,0.0,0.0115277604750633,0.0197133458646616,0.16
on_time_delivery_rate,106.0,0.8365857977593011,0.20311653937596713,0.0,0.8699158485273493,0.8935934565675243,0.9026288221233151,1.0
average_late_days,106.0,0.8624630053733516,2.406001688651986,0.0,0.2051514273293725,0.26101288715971044,0.3326771653543307,11.00518134715026
