,Q1,Q3,IQR,lower_bound,upper_bound,number_of_outliers
price_competitiveness,0.9429115831612351,1.044056051669349,0.10114446850811376,0.7911948803990645,1.1957727544315195,0.0
cost_variability,0.053354024897444174,0.11105776940849225,0.05770374451104808,-0.03320159186912794,0.19761338617506435,0.0
total_spend,138796.1325,4492714.837499999,4353918.704999999,-6392081.924999999,11023592.895,11.0
order_frequency,37.25,539.75,502.5,-716.5,1293.5,10.0
average_delivery_delay,0.2051514273293725,0.3326771653543307,0.12752573802495817,0.013862820291935224,0.5239657723917679,16.0
quality_rejection_rate,0.0,0.0197133458646616,0.0197133458646616,-0.0295700187969924,0.049283364661654,7.0
on_time_delivery_rate,0.8699158485273493,0.9026288221233151,0.03271297359596581,0.8208463881334005,0.9516982825172637,20.0
average_late_days,0.2051514273293725,0.3326771653543307,0.12752573802495817,0.013862820291935224,0.5239657723917679,16.0
